BeginDate,GenMw,FuelCategoryRollup,FuelCategory,MarginalFlag
2023-01-12T00:00:29.000-05:00,6,Coal,Coal,N
2023-01-12T00:00:29.000-05:00,1087,Hydro,Hydro,N
2023-01-12T00:00:29.000-05:00,4687,Natural Gas,Natural Gas,Y
2023-01-12T00:00:29.000-05:00,3368,Nuclear,Nuclear,N
2023-01-12T00:00:29.000-05:00,2,Other,Other,N
2023-01-12T00:00:29.000-05:00,33,Renewables,Landfill Gas,N
2023-01-12T00:00:29.000-05:00,286,Renewables,Refuse,N
2023-01-12T00:00:29.000-05:00,3,Renewables,Solar,N
2023-01-12T00:00:29.000-05:00,98,Renewables,Wind,N
2023-01-12T00:00:29.000-05:00,268,Renewables,Wood,N
2023-01-12T00:01:59.000-05:00,5,Coal,Coal,N
2023-01-12T00:01:59.000-05:00,1028,Hydro,Hydro,N
2023-01-12T00:01:59.000-05:00,4801,Natural Gas,Natural Gas,Y
2023-01-12T00:01:59.000-05:00,3368,Nuclear,Nuclear,N
2023-01-12T00:01:59.000-05:00,33,Renewables,Landfill Gas,N
2023-01-12T00:01:59.000-05:00,287,Renewables,Refuse,N
2023-01-12T00:01:59.000-05:00,3,Renewables,Solar,N
2023-01-12T00:01:59.000-05:00,99,Renewables,Wind,N
2023-01-12T00:01:59.000-05:00,270,Renewables,Wood,N
2023-01-12T00:03:29.000-05:00,5,Coal,Coal,N
2023-01-12T00:03:29.000-05:00,1028,Hydro,Hydro,N
2023-01-12T00:03:29.000-05:00,4801,Natural Gas,Natural Gas,Y
2023-01-12T00:03:29.000-05:00,3368,Nuclear,Nuclear,N
2023-01-12T00:03:29.000-05:00,33,Renewables,Landfill Gas,N
2023-01-12T00:03:29.000-05:00,287,Renewables,Refuse,N
2023-01-12T00:03:29.000-05:00,3,Renewables,Solar,N
2023-01-12T00:03:29.000-05:00,99,Renewables,Wind,N
2023-01-12T00:03:29.000-05:00,270,Renewables,Wood,N
2023-01-12T00:06:24.000-05:00,6,Coal,Coal,N
2023-01-12T00:06:24.000-05:00,1029,Hydro,Hydro,N
2023-01-12T00:06:24.000-05:00,4926,Natural Gas,Natural Gas,Y
2023-01-12T00:06:24.000-05:00,3368,Nuclear,Nuclear,N
2023-01-12T00:06:24.000-05:00,34,Renewables,Landfill Gas,N
2023-01-12T00:06:24.000-05:00,282,Renewables,Refuse,N
2023-01-12T00:06:24.000-05:00,3,Renewables,Solar,N
2023-01-12T00:06:24.000-05:00,95,Renewables,Wind,N
2023-01-12T00:06:24.000-05:00,273,Renewables,Wood,N
2023-01-12T00:09:30.000-05:00,10,Coal,Coal,N
2023-01-12T00:09:30.000-05:00,1026,Hydro,Hydro,N
2023-01-12T00:09:30.000-05:00,5047,Natural Gas,Natural Gas,Y
2023-01-12T00:09:30.000-05:00,3369,Nuclear,Nuclear,N
2023-01-12T00:09:30.000-05:00,38,Other,Other,N
2023-01-12T00:09:30.000-05:00,33,Renewables,Landfill Gas,N
2023-01-12T00:09:30.000-05:00,283,Renewables,Refuse,N
2023-01-12T00:09:30.000-05:00,3,Renewables,Solar,N
2023-01-12T00:09:30.000-05:00,95,Renewables,Wind,N
2023-01-12T00:09:30.000-05:00,271,Renewables,Wood,N
2023-01-12T00:16:08.000-05:00,10,Coal,Coal,N
2023-01-12T00:16:08.000-05:00,1026,Hydro,Hydro,N
2023-01-12T00:16:08.000-05:00,4994,Natural Gas,Natural Gas,Y
2023-01-12T00:16:08.000-05:00,3366,Nuclear,Nuclear,N
2023-01-12T00:16:08.000-05:00,21,Other,Other,N
2023-01-12T00:16:08.000-05:00,33,Renewables,Landfill Gas,N
2023-01-12T00:16:08.000-05:00,280,Renewables,Refuse,N
2023-01-12T00:16:08.000-05:00,3,Renewables,Solar,N
2023-01-12T00:16:08.000-05:00,95,Renewables,Wind,N
2023-01-12T00:16:08.000-05:00,269,Renewables,Wood,N
2023-01-12T00:24:19.000-05:00,3,Coal,Coal,N
2023-01-12T00:24:19.000-05:00,1021,Hydro,Hydro,N
2023-01-12T00:24:19.000-05:00,5021,Natural Gas,Natural Gas,Y
2023-01-12T00:24:19.000-05:00,3366,Nuclear,Nuclear,N
2023-01-12T00:24:19.000-05:00,3,Other,Other,N
2023-01-12T00:24:19.000-05:00,33,Renewables,Landfill Gas,N
2023-01-12T00:24:19.000-05:00,279,Renewables,Refuse,N
2023-01-12T00:24:19.000-05:00,3,Renewables,Solar,N
2023-01-12T00:24:19.000-05:00,97,Renewables,Wind,N
2023-01-12T00:24:19.000-05:00,270,Renewables,Wood,N
2023-01-12T00:27:38.000-05:00,7,Coal,Coal,N
2023-01-12T00:27:38.000-05:00,1025,Hydro,Hydro,N
2023-01-12T00:27:38.000-05:00,5041,Natural Gas,Natural Gas,N
2023-01-12T00:27:38.000-05:00,3368,Nuclear,Nuclear,N
2023-01-12T00:27:38.000-05:00,34,Renewables,Landfill Gas,N
2023-01-12T00:27:38.000-05:00,286,Renewables,Refuse,N
2023-01-12T00:27:38.000-05:00,3,Renewables,Solar,N
2023-01-12T00:27:38.000-05:00,98,Renewables,Wind,N
2023-01-12T00:27:38.000-05:00,272,Renewables,Wood,N
2023-01-12T00:30:10.000-05:00,6,Coal,Coal,N
2023-01-12T00:30:10.000-05:00,1024,Hydro,Hydro,N
2023-01-12T00:30:10.000-05:00,4935,Natural Gas,Natural Gas,Y
2023-01-12T00:30:10.000-05:00,3368,Nuclear,Nuclear,N
2023-01-12T00:30:10.000-05:00,23,Other,Other,N
2023-01-12T00:30:10.000-05:00,33,Renewables,Landfill Gas,N
2023-01-12T00:30:10.000-05:00,284,Renewables,Refuse,N
2023-01-12T00:30:10.000-05:00,3,Renewables,Solar,N
2023-01-12T00:30:10.000-05:00,100,Renewables,Wind,N
2023-01-12T00:30:10.000-05:00,269,Renewables,Wood,N
2023-01-12T00:37:57.000-05:00,8,Coal,Coal,N
2023-01-12T00:37:57.000-05:00,1023,Hydro,Hydro,N
2023-01-12T00:37:57.000-05:00,5027,Natural Gas,Natural Gas,Y
2023-01-12T00:37:57.000-05:00,3367,Nuclear,Nuclear,N
2023-01-12T00:37:57.000-05:00,33,Renewables,Landfill Gas,N
2023-01-12T00:37:57.000-05:00,283,Renewables,Refuse,N
2023-01-12T00:37:57.000-05:00,3,Renewables,Solar,N
2023-01-12T00:37:57.000-05:00,96,Renewables,Wind,N
2023-01-12T00:37:57.000-05:00,270,Renewables,Wood,N
2023-01-12T00:44:55.000-05:00,6,Coal,Coal,N
2023-01-12T00:44:55.000-05:00,1021,Hydro,Hydro,N
2023-01-12T00:44:55.000-05:00,4979,Natural Gas,Natural Gas,Y
2023-01-12T00:44:55.000-05:00,3367,Nuclear,Nuclear,N
2023-01-12T00:44:55.000-05:00,3,Other,Other,N
2023-01-12T00:44:55.000-05:00,33,Renewables,Landfill Gas,N
2023-01-12T00:44:55.000-05:00,283,Renewables,Refuse,N
2023-01-12T00:44:55.000-05:00,3,Renewables,Solar,N
2023-01-12T00:44:55.000-05:00,92,Renewables,Wind,N
2023-01-12T00:44:55.000-05:00,268,Renewables,Wood,N
2023-01-12T00:49:06.000-05:00,6,Coal,Coal,N
2023-01-12T00:49:06.000-05:00,1021,Hydro,Hydro,N
2023-01-12T00:49:06.000-05:00,4979,Natural Gas,Natural Gas,Y
2023-01-12T00:49:06.000-05:00,3367,Nuclear,Nuclear,N
2023-01-12T00:49:06.000-05:00,3,Other,Other,N
2023-01-12T00:49:06.000-05:00,33,Renewables,Landfill Gas,N
2023-01-12T00:49:06.000-05:00,283,Renewables,Refuse,N
2023-01-12T00:49:06.000-05:00,3,Renewables,Solar,N
2023-01-12T00:49:06.000-05:00,92,Renewables,Wind,N
2023-01-12T00:49:06.000-05:00,268,Renewables,Wood,N
2023-01-12T00:50:37.000-05:00,4,Coal,Coal,N
2023-01-12T00:50:37.000-05:00,1022,Hydro,Hydro,N
2023-01-12T00:50:37.000-05:00,4967,Natural Gas,Natural Gas,Y
2023-01-12T00:50:37.000-05:00,3367,Nuclear,Nuclear,N
2023-01-12T00:50:37.000-05:00,1,Other,Other,N
2023-01-12T00:50:37.000-05:00,33,Renewables,Landfill Gas,N
2023-01-12T00:50:37.000-05:00,282,Renewables,Refuse,N
2023-01-12T00:50:37.000-05:00,3,Renewables,Solar,N
2023-01-12T00:50:37.000-05:00,95,Renewables,Wind,N
2023-01-12T00:50:37.000-05:00,268,Renewables,Wood,N
2023-01-12T00:58:46.000-05:00,3,Coal,Coal,N
2023-01-12T00:58:46.000-05:00,1021,Hydro,Hydro,N
2023-01-12T00:58:46.000-05:00,5081,Natural Gas,Natural Gas,Y
2023-01-12T00:58:46.000-05:00,3368,Nuclear,Nuclear,N
2023-01-12T00:58:46.000-05:00,33,Renewables,Landfill Gas,N
2023-01-12T00:58:46.000-05:00,277,Renewables,Refuse,N
2023-01-12T00:58:46.000-05:00,3,Renewables,Solar,N
2023-01-12T00:58:46.000-05:00,91,Renewables,Wind,N
2023-01-12T00:58:46.000-05:00,270,Renewables,Wood,N
2023-01-12T01:05:22.000-05:00,5,Coal,Coal,N
2023-01-12T01:05:22.000-05:00,979,Hydro,Hydro,N
2023-01-12T01:05:22.000-05:00,5136,Natural Gas,Natural Gas,Y
2023-01-12T01:05:22.000-05:00,3369,Nuclear,Nuclear,N
2023-01-12T01:05:22.000-05:00,33,Renewables,Landfill Gas,N
2023-01-12T01:05:22.000-05:00,276,Renewables,Refuse,N
2023-01-12T01:05:22.000-05:00,3,Renewables,Solar,N
2023-01-12T01:05:22.000-05:00,96,Renewables,Wind,N
2023-01-12T01:05:22.000-05:00,271,Renewables,Wood,N
2023-01-12T01:07:00.000-05:00,6,Coal,Coal,N
2023-01-12T01:07:00.000-05:00,977,Hydro,Hydro,N
2023-01-12T01:07:00.000-05:00,5151,Natural Gas,Natural Gas,Y
2023-01-12T01:07:00.000-05:00,3369,Nuclear,Nuclear,N
2023-01-12T01:07:00.000-05:00,34,Renewables,Landfill Gas,N
2023-01-12T01:07:00.000-05:00,276,Renewables,Refuse,N
2023-01-12T01:07:00.000-05:00,3,Renewables,Solar,N
2023-01-12T01:07:00.000-05:00,97,Renewables,Wind,N
2023-01-12T01:07:00.000-05:00,273,Renewables,Wood,N
2023-01-12T01:16:17.000-05:00,6,Coal,Coal,N
2023-01-12T01:16:17.000-05:00,977,Hydro,Hydro,N
2023-01-12T01:16:17.000-05:00,5151,Natural Gas,Natural Gas,Y
2023-01-12T01:16:17.000-05:00,3369,Nuclear,Nuclear,N
2023-01-12T01:16:17.000-05:00,34,Renewables,Landfill Gas,N
2023-01-12T01:16:17.000-05:00,276,Renewables,Refuse,N
2023-01-12T01:16:17.000-05:00,3,Renewables,Solar,N
2023-01-12T01:16:17.000-05:00,97,Renewables,Wind,N
2023-01-12T01:16:17.000-05:00,273,Renewables,Wood,N
2023-01-12T01:19:47.000-05:00,8,Coal,Coal,N
2023-01-12T01:19:47.000-05:00,978,Hydro,Hydro,N
2023-01-12T01:19:47.000-05:00,5095,Natural Gas,Natural Gas,Y
2023-01-12T01:19:47.000-05:00,3369,Nuclear,Nuclear,N
2023-01-12T01:19:47.000-05:00,15,Other,Other,N
2023-01-12T01:19:47.000-05:00,34,Renewables,Landfill Gas,N
2023-01-12T01:19:47.000-05:00,278,Renewables,Refuse,N
