GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2021-01-16T06:00:00Z,6966.80,3871.90,0.00,346.70,8181.02,2039.00,140.00,10.20,22305.88,0.00,39.60
2021-01-16T07:00:00Z,6966.80,4407.57,0.00,324.70,8919.93,2039.00,140.00,10.20,21867.90,0.00,39.60
2021-01-16T08:00:00Z,7758.90,4346.57,0.00,313.53,9203.18,2039.00,140.00,10.20,21434.31,0.00,39.60
2021-01-16T09:00:00Z,7398.70,4130.28,0.00,311.70,9191.60,2039.00,140.00,10.20,21078.67,0.00,39.60
2021-01-16T10:00:00Z,7708.70,4042.22,0.00,422.70,9582.43,2039.00,140.00,10.20,20765.53,0.00,39.60
2021-01-16T11:00:00Z,7835.03,4208.30,0.00,562.03,10588.30,2039.00,140.00,10.20,20582.99,0.00,39.60
2021-01-16T12:00:00Z,7916.70,4211.30,0.00,888.70,11042.23,2039.00,140.00,10.20,20290.03,0.00,39.60
2021-01-16T13:00:00Z,7916.70,4215.30,0.00,956.70,11817.92,2039.00,140.00,10.20,20024.91,0.00,39.60
2021-01-16T14:00:00Z,8049.70,4253.30,0.00,993.37,12008.18,2039.00,144.36,10.20,19780.43,0.00,39.60
2021-01-16T15:00:00Z,8084.70,4254.30,0.00,1164.03,12158.26,2039.00,174.40,10.20,19457.83,0.00,39.60
2021-01-16T16:00:00Z,8024.62,4254.30,0.00,1174.03,12541.65,2039.00,181.80,10.20,19243.74,0.00,39.60
2021-01-16T17:00:00Z,7971.70,4253.30,0.00,1153.03,12858.90,2039.00,181.90,10.20,19243.15,0.00,39.60
2021-01-16T18:00:00Z,7971.70,4253.30,0.00,1123.03,11436.82,2039.00,182.00,10.20,19479.50,0.00,39.61
2021-01-16T19:00:00Z,7971.70,4232.30,0.00,1056.70,9774.10,2039.00,180.70,10.20,19840.13,0.00,39.60
2021-01-16T20:00:00Z,7971.70,4654.63,0.00,956.70,9016.88,2039.00,180.80,10.20,20091.40,0.00,39.60
2021-01-16T21:00:00Z,8048.70,4046.30,0.00,956.70,8898.13,2039.00,172.86,10.20,20378.78,0.00,39.75
2021-01-16T22:00:00Z,7912.53,4143.30,0.00,956.70,8964.39,2039.00,163.66,10.20,20207.33,0.00,39.60
2021-01-16T23:00:00Z,7981.70,4842.97,0.00,1118.70,9533.00,2039.00,143.74,10.20,20209.63,0.00,39.60
2021-01-17T00:00:00Z,7608.70,5509.30,0.00,1115.37,9676.58,2039.00,140.00,10.20,20335.55,0.00,39.60
2021-01-17T01:00:00Z,7608.70,5655.38,0.00,1097.03,9040.37,2039.00,140.00,10.20,20638.31,0.00,39.60
2021-01-17T02:00:00Z,7776.62,5448.30,0.00,973.70,8686.53,2039.00,140.00,10.20,21085.22,0.00,39.60
2021-01-17T03:00:00Z,7758.70,5357.30,0.00,855.03,8199.20,2039.00,140.00,10.20,21300.03,0.00,39.60
2021-01-17T04:00:00Z,8763.35,4317.90,0.00,536.33,7937.63,2039.00,140.00,10.20,21780.40,0.00,39.60
2021-01-17T05:00:00Z,8764.90,4427.10,0.00,361.78,7569.08,2039.00,140.00,10.20,22189.58,0.00,39.60
