GMT TIME, Coal Market, Coal Self, Diesel Fuel Oil, Hydro, Natural Gas, Nuclear, Solar, Waste Disposal Services, Wind, Waste Heat, Other
2022-11-14T06:00:00Z,7577.70,4352.00,0.00,447.75,8831.50,0.00,141.07,12.20,26594.53,0.00,97.40
2022-11-14T07:00:00Z,7577.70,4352.00,0.00,514.00,9619.62,0.00,141.08,12.20,26106.73,0.00,97.40
2022-11-14T08:00:00Z,7577.70,4372.17,0.00,514.00,10312.53,0.00,141.14,12.20,25692.32,0.00,97.40
2022-11-14T09:00:00Z,7570.20,4473.00,0.00,514.00,10843.18,0.00,140.97,12.20,25332.77,0.00,87.40
2022-11-14T10:00:00Z,7547.70,4473.00,0.00,514.00,11583.06,0.00,140.94,11.70,25052.22,0.00,97.40
2022-11-14T11:00:00Z,7876.95,4132.25,0.00,481.00,13004.24,0.00,140.96,10.20,24831.81,0.00,98.60
2022-11-14T12:00:00Z,7975.20,4004.00,0.00,1069.00,13648.12,0.00,140.90,10.20,24351.60,0.00,101.10
2022-11-14T13:00:00Z,7997.28,4006.00,0.00,1079.73,13644.83,0.00,141.26,10.20,24083.53,0.00,97.70
2022-11-14T14:00:00Z,7982.70,4008.00,0.00,1088.13,13845.46,0.00,154.10,10.20,23658.44,0.00,104.10
2022-11-14T15:00:00Z,7982.70,4008.00,70.67,1161.67,14649.89,0.00,174.40,10.20,23401.54,0.00,104.10
2022-11-14T16:00:00Z,7760.87,4228.00,110.08,1101.80,15371.03,0.00,178.10,10.20,23607.52,0.00,104.10
2022-11-14T17:00:00Z,7751.70,4228.00,260.00,1050.33,15443.78,0.00,182.40,10.20,23321.10,0.00,104.10
2022-11-14T18:00:00Z,7751.70,4008.00,180.50,1019.00,15383.15,0.00,185.00,11.87,22967.52,0.00,104.10
2022-11-14T19:00:00Z,7751.70,4008.00,38.50,1019.67,15246.51,0.00,186.80,12.20,23014.57,0.00,104.10
2022-11-14T20:00:00Z,7412.70,4158.03,0.00,1074.08,14987.25,0.00,189.90,10.70,22700.60,0.00,102.60
2022-11-14T21:00:00Z,7412.70,4161.00,0.00,1224.00,15563.00,0.00,189.30,10.20,22593.46,0.00,102.00
2022-11-14T22:00:00Z,7412.70,4161.03,0.00,1339.00,16376.47,0.00,171.80,10.20,22654.98,0.00,94.90
2022-11-14T23:00:00Z,7412.70,4161.01,23.50,1582.67,16900.78,0.00,143.84,10.20,22843.57,0.00,92.60
2022-11-15T00:00:00Z,7412.70,4163.08,116.00,1385.00,17624.30,0.00,141.27,11.37,22772.37,0.00,89.60
2022-11-15T01:00:00Z,7412.70,4163.08,116.00,1290.75,17604.12,0.00,140.99,10.20,22771.23,0.00,85.60
2022-11-15T02:00:00Z,7412.70,4163.10,116.00,1220.55,17617.16,0.00,140.94,10.20,22704.94,0.00,83.00
2022-11-15T03:00:00Z,7412.70,4163.10,116.00,956.16,17682.73,0.00,140.98,10.20,22946.65,0.00,83.00
2022-11-15T04:00:00Z,7412.70,4161.10,110.67,490.06,17482.27,0.00,141.05,10.20,23028.91,0.00,83.00
2022-11-15T05:00:00Z,7412.70,4346.10,0.00,480.40,16479.88,0.00,141.08,10.20,22813.99,0.00,83.00
